sample_id,class_label,class_name,image_path,conditioning_sigma,activation_path,batch_index,umap_x,umap_y
sample_000009,88,macaw,images/imagenet_real/sample_000009.png,80.0,activations/imagenet_real/batch_000000,0,5.5574346,1.7134634
sample_000104,704,parking_meter,images/imagenet_real/sample_000104.png,80.0,activations/imagenet_real/batch_000000,1,-0.43731007,0.10647149
sample_000220,751,racer,images/imagenet_real/sample_000220.png,80.0,activations/imagenet_real/batch_000000,2,2.464247,0.46331716
sample_000236,2,great_white_shark,images/imagenet_real/sample_000236.png,80.0,activations/imagenet_real/batch_000000,3,-0.6189701,10.974756
sample_000303,665,moped,images/imagenet_real/sample_000303.png,80.0,activations/imagenet_real/batch_000000,4,-1.6568252,0.942706
sample_000323,827,stove,images/imagenet_real/sample_000323.png,80.0,activations/imagenet_real/batch_000000,5,-2.171776,-0.80038595
sample_000360,665,moped,images/imagenet_real/sample_000360.png,80.0,activations/imagenet_real/batch_000000,6,-0.7326545,1.0902411
sample_000381,173,Ibizan_hound,images/imagenet_real/sample_000381.png,80.0,activations/imagenet_real/batch_000000,7,-0.68120277,2.8611348
sample_000450,319,dragonfly,images/imagenet_real/sample_000450.png,80.0,activations/imagenet_real/batch_000000,8,4.3148146,0.07562146
sample_000473,704,parking_meter,images/imagenet_real/sample_000473.png,80.0,activations/imagenet_real/batch_000000,9,-1.060421,0.04983104
sample_000547,704,parking_meter,images/imagenet_real/sample_000547.png,80.0,activations/imagenet_real/batch_000000,10,-0.20165733,0.6677309
sample_000571,665,moped,images/imagenet_real/sample_000571.png,80.0,activations/imagenet_real/batch_000000,11,-1.1118432,1.227427
sample_000606,86,partridge,images/imagenet_real/sample_000606.png,80.0,activations/imagenet_real/batch_000000,12,2.0588925,2.3048806
sample_000645,115,sea_slug,images/imagenet_real/sample_000645.png,80.0,activations/imagenet_real/batch_000000,13,16.068605,-5.076816
sample_000709,751,racer,images/imagenet_real/sample_000709.png,80.0,activations/imagenet_real/batch_000000,14,1.6994233,0.06099688
