sample_id,class_label,class_name,image_path,conditioning_sigma,activation_path,batch_index,umap_x,umap_y
sample_000009,88,macaw,images/imagenet_real/sample_000009.png,50.0,activations/imagenet_real/batch_000000,0,-4.686194,7.6962852
sample_000104,704,parking_meter,images/imagenet_real/sample_000104.png,50.0,activations/imagenet_real/batch_000000,1,0.730281,0.7126063
sample_000220,751,racer,images/imagenet_real/sample_000220.png,50.0,activations/imagenet_real/batch_000000,2,2.8073645,-7.794247
sample_000236,2,great_white_shark,images/imagenet_real/sample_000236.png,50.0,activations/imagenet_real/batch_000000,3,-0.20654169,-12.9525
sample_000303,665,moped,images/imagenet_real/sample_000303.png,50.0,activations/imagenet_real/batch_000000,4,2.0093243,-0.74387234
sample_000323,827,stove,images/imagenet_real/sample_000323.png,50.0,activations/imagenet_real/batch_000000,5,-0.5824044,-1.1189845
sample_000360,665,moped,images/imagenet_real/sample_000360.png,50.0,activations/imagenet_real/batch_000000,6,2.021772,-0.6573194
sample_000381,173,Ibizan_hound,images/imagenet_real/sample_000381.png,50.0,activations/imagenet_real/batch_000000,7,3.3326466,2.4437425
sample_000450,319,dragonfly,images/imagenet_real/sample_000450.png,50.0,activations/imagenet_real/batch_000000,8,-9.504203,3.6169848
sample_000473,704,parking_meter,images/imagenet_real/sample_000473.png,50.0,activations/imagenet_real/batch_000000,9,0.7979737,-0.17377712
sample_000547,704,parking_meter,images/imagenet_real/sample_000547.png,50.0,activations/imagenet_real/batch_000000,10,0.9123696,0.26378417
sample_000571,665,moped,images/imagenet_real/sample_000571.png,50.0,activations/imagenet_real/batch_000000,11,2.1668131,-0.57500523
sample_000606,86,partridge,images/imagenet_real/sample_000606.png,50.0,activations/imagenet_real/batch_000000,12,-4.561707,4.7290277
sample_000645,115,sea_slug,images/imagenet_real/sample_000645.png,50.0,activations/imagenet_real/batch_000000,13,15.976691,-5.3200645
sample_000709,751,racer,images/imagenet_real/sample_000709.png,50.0,activations/imagenet_real/batch_000000,14,3.3025758,-6.654067
sample_000754,649,megalith,images/imagenet_real/sample_000754.png,50.0,activations/imagenet_real/batch_000000,15,5.2622004,-1.3435346
sample_000790,88,macaw,images/imagenet_real/sample_000790.png,50.0,activations/imagenet_real/batch_000000,16,-4.768035,7.7271204
sample_000852,86,partridge,images/imagenet_real/sample_000852.png,50.0,activations/imagenet_real/batch_000000,17,-4.8157434,4.7766185
sample_000860,704,parking_meter,images/imagenet_real/sample_000860.png,50.0,activations/imagenet_real/batch_000000,18,0.65627176,0.0513373
sample_000862,751,racer,images/imagenet_real/sample_000862.png,50.0,activations/imagenet_real/batch_000000,19,2.8386295,-7.7868834
sample_000864,649,megalith,images/imagenet_real/sample_000864.png,50.0,activations/imagenet_real/batch_000000,20,5.1757236,-1.4211609
sample_000897,173,Ibizan_hound,images/imagenet_real/sample_000897.png,50.0,activations/imagenet_real/batch_000000,21,3.3280644,2.4394422
sample_000921,88,macaw,images/imagenet_real/sample_000921.png,50.0,activations/imagenet_real/batch_000000,22,-5.017029,7.636382
sample_000934,319,dragonfly,images/imagenet_real/sample_000934.png,50.0,activations/imagenet_real/batch_000000,23,-9.56012,3.594208
sample_000982,173,Ibizan_hound,images/imagenet_real/sample_000982.png,50.0,activations/imagenet_real/batch_000000,24,3.7084162,2.2818847
sample_001005,649,megalith,images/imagenet_real/sample_001005.png,50.0,activations/imagenet_real/batch_000000,25,5.9779143,-1.4061738
sample_001032,930,French_loaf,images/imagenet_real/sample_001032.png,50.0,activations/imagenet_real/batch_000000,26,-3.869563,-0.03719319
sample_001115,930,French_loaf,images/imagenet_real/sample_001115.png,50.0,activations/imagenet_real/batch_000000,27,-3.8770137,-0.039876178
sample_001126,827,stove,images/imagenet_real/sample_001126.png,50.0,activations/imagenet_real/batch_000000,28,-0.5986754,-1.1380266
sample_001171,930,French_loaf,images/imagenet_real/sample_001171.png,50.0,activations/imagenet_real/batch_000000,29,-3.9070525,-0.07422619
sample_001177,665,moped,images/imagenet_real/sample_001177.png,50.0,activations/imagenet_real/batch_000000,30,2.1412795,-0.53619325
sample_001179,751,racer,images/imagenet_real/sample_001179.png,50.0,activations/imagenet_real/batch_000000,31,2.854937,-7.7885647
sample_001200,197,giant_schnauzer,images/imagenet_real/sample_001200.png,50.0,activations/imagenet_real/batch_000000,32,1.8701606,3.4434834
sample_001204,67,diamondback,images/imagenet_real/sample_001204.png,50.0,activations/imagenet_real/batch_000000,33,-0.3863126,16.07469
sample_001264,725,pitcher,images/imagenet_real/sample_001264.png,50.0,activations/imagenet_real/batch_000000,34,-1.284654,1.1680807
sample_001282,86,partridge,images/imagenet_real/sample_001282.png,50.0,activations/imagenet_real/batch_000000,35,-4.5588984,4.770345
sample_001305,827,stove,images/imagenet_real/sample_001305.png,50.0,activations/imagenet_real/batch_000000,36,-0.11129996,1.9439763
sample_001323,197,giant_schnauzer,images/imagenet_real/sample_001323.png,50.0,activations/imagenet_real/batch_000000,37,1.3409085,3.9165282
sample_001366,649,megalith,images/imagenet_real/sample_001366.png,50.0,activations/imagenet_real/batch_000000,38,5.701929,-1.2985469
sample_001400,827,stove,images/imagenet_real/sample_001400.png,50.0,activations/imagenet_real/batch_000000,39,-0.5818864,-1.1294277
sample_001441,827,stove,images/imagenet_real/sample_001441.png,50.0,activations/imagenet_real/batch_000000,40,-0.55652076,-1.0739886
sample_001463,2,great_white_shark,images/imagenet_real/sample_001463.png,50.0,activations/imagenet_real/batch_000000,41,-0.21161248,-13.034622
sample_001478,394,sturgeon,images/imagenet_real/sample_001478.png,50.0,activations/imagenet_real/batch_000000,42,8.23755,7.389229
sample_001486,751,racer,images/imagenet_real/sample_001486.png,50.0,activations/imagenet_real/batch_000000,43,2.9873586,-7.5415893
sample_001505,827,stove,images/imagenet_real/sample_001505.png,50.0,activations/imagenet_real/batch_000000,44,-0.5551354,-1.0892155
sample_001525,725,pitcher,images/imagenet_real/sample_001525.png,50.0,activations/imagenet_real/batch_000000,45,-1.3552603,1.3113505
sample_001540,319,dragonfly,images/imagenet_real/sample_001540.png,50.0,activations/imagenet_real/batch_000000,46,-9.960373,3.2966583
sample_001561,665,moped,images/imagenet_real/sample_001561.png,50.0,activations/imagenet_real/batch_000000,47,1.9996864,-0.7879042
sample_001602,86,partridge,images/imagenet_real/sample_001602.png,50.0,activations/imagenet_real/batch_000000,48,-5.1463485,4.436167
sample_001624,394,sturgeon,images/imagenet_real/sample_001624.png,50.0,activations/imagenet_real/batch_000000,49,8.252471,7.4015527
sample_001660,67,diamondback,images/imagenet_real/sample_001660.png,50.0,activations/imagenet_real/batch_000000,50,-0.35586858,15.876008
sample_001678,86,partridge,images/imagenet_real/sample_001678.png,50.0,activations/imagenet_real/batch_000000,51,-4.7424307,4.7247047
sample_001712,725,pitcher,images/imagenet_real/sample_001712.png,50.0,activations/imagenet_real/batch_000000,52,-1.345511,1.0697365
sample_001744,86,partridge,images/imagenet_real/sample_001744.png,50.0,activations/imagenet_real/batch_000000,53,-5.1751866,4.417847
sample_001840,197,giant_schnauzer,images/imagenet_real/sample_001840.png,50.0,activations/imagenet_real/batch_000000,54,1.2150269,4.687002
sample_001846,930,French_loaf,images/imagenet_real/sample_001846.png,50.0,activations/imagenet_real/batch_000000,55,-3.9190059,-0.08694944
sample_001868,725,pitcher,images/imagenet_real/sample_001868.png,50.0,activations/imagenet_real/batch_000000,56,-1.1003635,0.30904934
sample_001915,649,megalith,images/imagenet_real/sample_001915.png,50.0,activations/imagenet_real/batch_000000,57,5.4451957,-1.266728
sample_001931,704,parking_meter,images/imagenet_real/sample_001931.png,50.0,activations/imagenet_real/batch_000000,58,0.99195296,0.45615932
sample_001942,86,partridge,images/imagenet_real/sample_001942.png,50.0,activations/imagenet_real/batch_000000,59,-4.8216944,4.735545
sample_001982,67,diamondback,images/imagenet_real/sample_001982.png,50.0,activations/imagenet_real/batch_000000,60,-0.3143574,15.896878
sample_001991,86,partridge,images/imagenet_real/sample_001991.png,50.0,activations/imagenet_real/batch_000000,61,-5.1259036,4.460637
sample_002058,827,stove,images/imagenet_real/sample_002058.png,50.0,activations/imagenet_real/batch_000000,62,-0.47731403,-0.7818721
sample_002095,67,diamondback,images/imagenet_real/sample_002095.png,50.0,activations/imagenet_real/batch_000000,63,-0.3825256,15.963263
sample_002160,930,French_loaf,images/imagenet_real/sample_002160.png,50.0,activations/imagenet_real/batch_000000,64,-3.9531102,-0.12065137
sample_002180,704,parking_meter,images/imagenet_real/sample_002180.png,50.0,activations/imagenet_real/batch_000000,65,0.7217629,0.0018303652
sample_002217,827,stove,images/imagenet_real/sample_002217.png,50.0,activations/imagenet_real/batch_000000,66,-0.60282826,-1.1293564
sample_002223,827,stove,images/imagenet_real/sample_002223.png,50.0,activations/imagenet_real/batch_000000,67,-0.50813717,-0.9970294
sample_002246,115,sea_slug,images/imagenet_real/sample_002246.png,50.0,activations/imagenet_real/batch_000000,68,15.978266,-5.1840897
sample_002322,197,giant_schnauzer,images/imagenet_real/sample_002322.png,50.0,activations/imagenet_real/batch_000000,69,1.263376,4.694914
sample_002415,751,racer,images/imagenet_real/sample_002415.png,50.0,activations/imagenet_real/batch_000000,70,2.852502,-7.656511
sample_002426,173,Ibizan_hound,images/imagenet_real/sample_002426.png,50.0,activations/imagenet_real/batch_000000,71,3.697519,2.3522863
sample_002434,88,macaw,images/imagenet_real/sample_002434.png,50.0,activations/imagenet_real/batch_000000,72,-4.9573784,7.8020663
sample_002502,827,stove,images/imagenet_real/sample_002502.png,50.0,activations/imagenet_real/batch_000000,73,-0.47023055,-0.79971576
sample_002503,704,parking_meter,images/imagenet_real/sample_002503.png,50.0,activations/imagenet_real/batch_000000,74,0.72834176,-0.021154106
sample_002554,725,pitcher,images/imagenet_real/sample_002554.png,50.0,activations/imagenet_real/batch_000000,75,-1.472253,1.2697659
sample_002587,649,megalith,images/imagenet_real/sample_002587.png,50.0,activations/imagenet_real/batch_000000,76,5.54982,-1.1923898
sample_002589,827,stove,images/imagenet_real/sample_002589.png,50.0,activations/imagenet_real/batch_000000,77,-0.5304539,-1.1057543
sample_002590,665,moped,images/imagenet_real/sample_002590.png,50.0,activations/imagenet_real/batch_000000,78,2.131485,-0.6264153
sample_002623,173,Ibizan_hound,images/imagenet_real/sample_002623.png,50.0,activations/imagenet_real/batch_000000,79,3.6807249,2.3299735
sample_002669,86,partridge,images/imagenet_real/sample_002669.png,50.0,activations/imagenet_real/batch_000000,80,-4.7807937,4.788312
sample_002711,319,dragonfly,images/imagenet_real/sample_002711.png,50.0,activations/imagenet_real/batch_000000,81,-9.926978,3.336798
sample_002719,394,sturgeon,images/imagenet_real/sample_002719.png,50.0,activations/imagenet_real/batch_000000,82,8.498164,7.722674
sample_002725,649,megalith,images/imagenet_real/sample_002725.png,50.0,activations/imagenet_real/batch_000000,83,5.5648184,-1.2314171
sample_002791,649,megalith,images/imagenet_real/sample_002791.png,50.0,activations/imagenet_real/batch_000000,84,5.558027,-1.2239234
